version,company,fiscal_year,field,predicted
v1,AAPL,2025,rd_expense,34550
v1,AAPL,2025,capex,12715
v1,AAPL,2025,long_term_debt,78328
v1,AMZN,2025,rd_expense,108521
v1,AMZN,2025,capex,128320
v1,AMZN,2025,long_term_debt,65648
v1,CSCO,2025,rd_expense,9300
v1,CSCO,2025,capex,905
v1,CSCO,2025,long_term_debt,22861
v1,GOOGL,2025,rd_expense,61087000000
v1,GOOGL,2025,capex,91447000000
v1,GOOGL,2025,long_term_debt,46547000000
v1,INTC,2025,rd_expense,13774
v1,INTC,2025,capex,14646
v1,INTC,2025,long_term_debt,44086
v1,META,2025,rd_expense,57372
v1,META,2025,capex,72215
v1,META,2025,long_term_debt,58744
v1,MSFT,2025,rd_expense,32488
v1,MSFT,2025,capex,64551
v1,MSFT,2025,long_term_debt,40152
v1,NVDA,2026,rd_expense,18497
v1,NVDA,2026,capex,6042
v1,NVDA,2026,long_term_debt,7469
v1,ORCL,2025,rd_expense,9860
v1,ORCL,2025,capex,21215
v1,ORCL,2025,long_term_debt,85297
v1,TSLA,2025,rd_expense,6411
v1,TSLA,2025,capex,8527
v1,TSLA,2025,long_term_debt,6584
